,fidelity,radius,thickness,npanels,theta,length,height,z_offset,volume,nC_Ge77,prod_rate_Ge77[nuc/(kg*yr)],total_nC_Ge77[cts],nC_Ge77_scaling,time_0[ms],x_0[m],y_0[m],z_0[m],r_0[m],L_0[m],px_0[m],py_0[m],pz_0[m],ekin_0[eV],edep_0[eV],vol_0,time_t[ms],x_t[m],y_t[m],z_t[m],r_t[m],L_t[m],px_t[m],py_t[m],pz_t[m],ekin_t[eV],edep_t[eV],ln(E0vsET),vol_t,nsteps,nC_A,nC_Z,nsec,nsec_with_nC,nprimaries,weights
0,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,2.5833567,0.59979875,-1.7877537,2.652072845895537,3.1983673447245144,-0.789188903,-0.602053483,-0.12129501,579286.034,0.0,7.0,96.8097614,1.65282842,0.44019377,-2.06646267,1.7104421478397067,2.6825138038060565,0.0,-0.0,-0.0,0.0,0.0,29.387647299345726,7.0,48,41,18,1,0,1.0,4e-05
1,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.85894122,2.11049026,1.69,2.2785849022957114,2.8369083800803216,-0.42179921,-0.89384814,-0.1520557,1169187.75181011,0.0,7.0,14.6441107,-0.95802294,2.26099559,2.37233462,2.4555873048144083,3.414363858878581,0.0,0.0,0.0,0.0,0.0,30.08991548742144,3.0,11,158,64,1,0,1.0,4e-05
2,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.06707449,-0.41170533,0.66493501,0.4171333910863154,0.7849451149493633,0.24851629,0.96822031,0.02809052,183415322.0,0.0,11.0,0.00252477,0.1700993,-0.01032032,0.6765802,0.1704120913121847,0.6977112926543703,0.0,0.0,0.0,0.0,0.0,35.145359309421096,11.0,2,0,0,5,0,1.0,4e-05
3,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.94644521,1.89977216,-1.28356556,2.1224732731987483,2.4804099141595777,0.93458827,0.0663025,0.34949786,1473421.14468597,0.0,15.0,0.05407026,1.63239264,2.15837638,-1.45133003,2.70615859270444,3.070774036761395,0.0,-0.0,-0.0,0.0,0.0,30.321193215033645,6.0,6,0,0,2,0,1.0,4e-05
4,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.44929658,1.30395221,1.46201447,1.9495517286708708,2.436850067864858,-0.61388127,-0.49875176,0.61187946,822235.85058398,0.0,7.0,8.03680894,1.40095808,-1.03974059,2.30101459,1.7446329231132935,2.887630893968913,-0.0,-0.0,0.0,0.0,0.0,29.737878206693704,3.0,23,158,64,1,0,1.0,4e-05
5,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-2.05070582,0.9706339,-3.30945473,2.268815666379947,4.01248241590296,-0.22219949,0.45620675,0.86168601,8097947.79382378,0.0,7.0,0.00222332,-2.07002554,1.0103,-3.23453316,2.3034130819834058,3.9708836031029513,-0.0,0.0,0.0,0.0,0.0,32.02521687971304,7.0,2,0,0,2,0,1.0,4e-05
6,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.21251387,2.24595021,-1.97146697,2.5523483756614067,3.2250836027213934,-0.87114986,-0.30425496,0.3853918,3453844.03432422,0.0,7.0,0.02463534,-1.46995006,2.01959565,-1.78817459,2.497903074259072,3.071984396561056,-0.0,-0.0,-0.0,0.0,0.0,31.17309403253903,7.0,8,0,0,2,0,1.0,4e-05
7,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.2075346,-1.09952293,-0.61175572,1.6331229236628042,1.7439425290833594,-0.60518348,0.65136352,-0.45768823,4594790.99445082,0.0,7.0,0.00257108,1.16157182,-1.05005284,-0.64651646,1.5658416458282676,1.6940612718733374,-0.0,0.0,-0.0,0.0,0.0,31.458529478266115,7.0,2,0,0,3,0,1.0,4e-05
8,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.3059375,-1.65227323,0.45688477,2.106057829329689,2.1550460026502534,0.06821509,0.98267153,0.17234666,1280525.27402815,0.0,7.0,17.7982592,-2.5806756,-2.02693624,0.97434521,3.2815174955286617,3.423113445638436,-0.0,0.0,0.0,0.0,0.0,30.180876573009733,3.0,15,158,64,1,0,1.0,4e-05
9,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.76953981,-1.65107923,0.28273111,2.4201929185319564,2.4366515227816348,0.00933447,0.44710845,-0.89443105,9390217.82228213,0.0,7.0,0.00240949,1.77243514,-1.60345741,0.19424186,2.390105016770336,2.3979849647916867,0.0,0.0,-0.0,0.0,0.0,32.17327469913486,7.0,3,0,0,2,0,1.0,4e-05
10,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.27992604,-1.42151576,-2.59861923,1.448815255233896,2.975212185092729,-0.46777005,0.76161255,-0.44848356,2257787.67,0.0,7.0,23.3844609,-1.15474416,-0.67535183,-2.11974455,1.3377347156063697,2.5065616143620244,0.0,0.0,0.0,0.0,0.0,30.74799163568469,15.0,89,2,1,1,0,1.0,4e-05
11,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.83204458,0.45198048,1.14901452,0.94688148012748,1.4888985541598316,-0.584077224,-0.000188348117,-0.811698072,107170.684,0.0,10.0,517.726023,-2.25446847,1.0428016,2.24460258,2.4839612032370195,3.3478805237537013,-0.0,-0.0,0.0,0.0,0.0,27.700273671028125,4.0,77,51,24,1,0,1.0,4e-05
12,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-1.80929743,-1.36059819,-2.08045489,2.2637987156184805,3.0745856914649154,-0.24395594,-0.67346613,0.69780288,5257301.35394019,0.0,7.0,0.00157786,-1.82145398,-1.39415763,-2.04568273,2.2937676644649643,3.073465134073479,-0.0,-0.0,0.0,0.0,0.0,31.593224053435016,7.0,2,0,0,3,0,1.0,4e-05
13,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.28961567,-0.40372755,-1.73753609,0.4968633322540026,1.8071814615558228,-0.79740127,-0.57447665,-0.18473711,4613042.09061723,0.0,7.0,0.06501938,-1.69578831,0.00239317,-1.28777952,1.6957899986718004,2.1293378810622645,-0.0,0.0,0.0,0.0,0.0,31.462493737804632,7.0,15,0,0,2,0,1.0,4e-05
14,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,0.30389261,-1.10389824,-0.88709004,1.1449637735263547,1.4484028382169485,-0.780060415,0.422234692,0.461761426,967476.328,0.0,7.0,214.584253,1.97177684,-1.83163806,-1.04538062,2.6912454160854504,2.887147819262556,-0.0,0.0,0.0,0.0,0.0,29.900541887361605,6.0,118,57,26,1,0,1.0,4e-05
15,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.00466367,-0.06274166,1.31955281,1.0066208848009386,1.6596702154633978,-0.84103239,0.54066268,0.01866524,4962784.83180925,0.0,7.0,0.0272115,0.21964861,0.16742589,1.29867263,0.2761828027180986,1.3277151578664532,-0.0,0.0,-0.0,0.0,0.0,31.5355732501269,11.0,10,0,0,3,0,1.0,4e-05
16,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,1.80103982,0.1115744,1.26770114,1.804492526989512,2.2052799052089265,0.625701043,0.34061597,0.701768455,1139185.64,0.0,7.0,31.2039538,1.63969123,0.68903916,2.34196838,1.778584351036638,2.940778500103713,0.0,0.0,0.0,0.0,0.0,30.06391986518164,3.0,20,158,64,1,0,1.0,4e-05
17,0.0,208.7,6.4,22.0,16.7,26.2,300.0,42.0,2967235.08,0,0.0,0,0.0059768755052057,0.0,-0.28570805,0.42609353,-2.5392576,0.5130153858732343,2.590562476625573,-0.63922038,-0.75364699,0.15301477,3864433.67021502,0.0,7.0,0.02743666,-0.66040867,0.08357299,-2.72274913,0.665675638782665,2.8029425397222227,-0.0,0.0,-0.0,0.0,0.0,31.28542135246765,7.0,7,0,0,3,0,1.0,4e-05
