,radius,thickness,npanels,theta,length
0,208.69,6.36,22.28,16.68,26.19
1,194.61,9.46,33.69,66.68,7.25
2,240.34,7.38,57.89,72.56,9.35
3,215.29,5.14,359.9,74.17,9.64
4,253.79,5.03,6.24,44.24,6.61
5,187.05,12.43,100.38,23.26,2.41
6,194.56,11.58,20.22,59.1,4.06
7,114.84,10.07,18.79,17.3,26.32
8,161.61,9.03,271.52,73.16,5.15
9,174.79,8.28,241.14,56.14,3.14
10,234.93,13.12,110.57,18.94,12.17
11,163.98,16.78,355.52,15.73,2.31
12,237.61,5.61,148.0,71.82,11.95
13,163.65,6.11,25.83,7.18,85.92
14,204.0,5.87,302.5,57.98,10.02
15,203.19,8.72,44.79,19.66,24.04
16,155.85,15.28,70.53,35.75,5.44
17,121.16,11.48,260.74,83.57,3.38
18,96.35,5.02,14.3,12.77,45.22
19,168.41,10.75,23.67,9.63,49.19
20,244.44,6.8,92.05,5.28,14.74
21,202.18,13.46,206.03,77.26,4.45
22,172.09,5.35,46.54,32.12,21.16
23,187.33,6.25,171.95,30.03,5.65
24,212.84,8.03,145.49,12.08,9.52
25,208.13,15.01,42.8,8.19,11.11
26,186.41,8.79,54.09,1.06,2.26
27,181.62,9.82,26.24,26.53,18.01
28,155.64,7.73,279.68,42.79,2.27
29,158.12,9.13,49.32,14.34,27.69
30,180.71,12.82,201.87,17.31,5.73
31,257.46,8.69,171.25,11.56,4.08
32,249.46,6.79,63.99,50.07,15.85
33,189.62,11.58,95.58,39.13,9.38
34,176.91,10.18,198.8,28.89,5.38
35,241.65,10.6,218.64,42.0,2.65
36,161.38,14.86,223.89,39.85,4.0
37,222.29,8.33,10.73,76.16,2.0
38,111.94,5.56,126.83,77.06,9.42
39,137.39,16.88,48.99,11.66,14.78
40,182.05,11.96,30.06,18.45,23.76
41,118.87,14.51,96.43,85.23,2.7
42,242.58,17.53,41.47,3.68,16.77
43,191.01,8.23,6.87,10.39,15.12
44,250.73,6.14,90.94,68.34,9.01
45,201.32,9.63,16.11,18.42,5.9
46,219.95,5.89,130.58,14.75,15.28
47,128.29,6.23,26.66,51.64,3.37
48,234.38,9.59,89.35,74.89,10.41
49,197.59,8.99,63.95,8.67,2.94
50,118.59,15.85,25.47,3.23,11.09
51,208.15,7.86,24.84,25.26,20.48
52,99.28,9.08,12.39,23.09,26.31
53,133.64,10.52,262.54,11.01,3.2
54,203.12,7.44,35.25,4.19,22.45
55,116.12,5.27,158.17,67.3,9.64
56,251.41,11.8,24.44,6.33,15.33
57,157.05,6.21,56.76,78.48,2.71
58,182.14,5.57,93.74,76.91,11.53
59,203.68,16.5,38.12,2.94,32.68
60,175.41,5.9,312.27,14.22,3.6
61,246.28,11.36,90.75,3.19,16.82
62,214.79,8.25,106.82,23.94,20.06
63,104.25,13.17,76.15,6.56,6.1
64,248.88,14.35,16.35,15.4,8.86
65,191.95,6.15,257.41,29.06,5.1
66,199.81,10.32,13.35,75.13,5.26
67,241.6,9.02,83.09,24.77,21.84
68,234.35,8.37,74.95,44.05,3.52
69,194.09,6.13,291.29,69.49,4.58
70,161.85,6.24,124.99,57.67,13.0
71,181.18,10.59,21.68,31.72,11.78
72,102.48,7.35,30.75,77.59,10.06
73,178.42,11.16,192.36,53.99,2.33
74,194.5,10.75,148.78,6.13,7.15
75,236.81,6.0,251.48,39.87,13.15
76,202.01,11.4,184.88,45.38,4.55
77,107.23,7.05,11.46,9.83,15.93
78,213.99,9.99,277.13,77.47,7.35
79,143.71,5.25,60.62,22.87,3.43
80,235.1,17.59,21.68,0.73,10.71
81,243.57,8.64,19.1,64.87,3.06
82,244.64,10.7,332.63,57.71,2.2
83,170.51,10.43,93.0,79.88,9.06
84,235.75,8.98,161.15,80.26,8.36
85,159.47,17.08,46.08,17.48,5.87
86,170.82,5.15,94.01,49.39,8.36
87,219.64,9.25,4.4,2.58,58.81
88,143.58,15.99,157.7,24.26,5.63
89,244.48,5.61,253.24,48.61,5.27
90,231.56,6.2,284.47,56.83,6.46
91,157.91,5.91,60.83,58.71,7.81
92,136.36,5.59,27.65,51.33,3.74
93,177.07,10.0,219.69,76.78,3.12
94,123.02,10.41,36.6,21.16,4.97
95,203.53,17.62,108.02,37.22,2.79
