,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err,rGe77[nuc/(kg*yr)]
0,0.0,208.7,6.4,22.0,16.7,26.2,43.0,0.1814,0.0198,0.1285
1,0.0,194.6,9.5,34.0,66.7,7.2,57.0,0.2432,0.0221,0.1698
2,0.0,240.3,7.4,58.0,72.6,9.4,79.0,0.3091,0.0263,0.2356
3,0.0,215.3,5.1,360.0,74.2,9.6,69.0,0.6192,0.029,0.2106
4,0.0,253.8,5.0,6.0,44.2,6.6,78.0,0.2602,0.0245,0.231
5,0.0,187.0,12.4,100.0,23.3,2.4,78.0,0.2014,0.0204,0.2311
6,0.0,194.6,11.6,20.0,59.1,4.1,68.0,0.2464,0.022,0.2
7,0.0,114.8,10.1,19.0,17.3,26.3,62.0,0.2366,0.021,0.182
8,0.0,161.6,9.0,272.0,73.2,5.2,78.0,0.4059,0.0275,0.2304
9,0.0,174.8,8.3,241.0,56.1,3.1,30.0,0.3045,0.0242,0.09
10,0.0,234.9,13.1,111.0,18.9,12.2,66.0,0.2625,0.0241,0.2026
11,0.0,164.0,16.8,356.0,15.7,2.3,46.0,0.4076,0.028,0.1376
12,0.0,237.6,5.6,148.0,71.8,12.0,44.0,0.3553,0.0273,0.1326
13,0.0,163.6,6.1,26.0,7.2,85.9,42.0,0.2031,0.0204,0.1249
14,0.0,204.0,5.9,302.0,58.0,10.0,76.0,0.4428,0.0285,0.2245
15,0.0,203.2,8.7,45.0,19.7,24.0,46.0,0.2009,0.0208,0.1378
16,0.0,155.8,15.3,71.0,35.8,5.4,44.0,0.1922,0.0197,0.1335
17,0.0,121.2,11.5,261.0,83.6,3.4,52.0,0.3603,0.0255,0.1548
18,0.0,96.4,5.0,14.0,12.8,45.2,70.0,0.228,0.0208,0.2179
19,0.0,168.4,10.8,24.0,9.6,49.2,62.0,0.1838,0.0195,0.187
20,0.0,244.4,6.8,92.0,5.3,14.7,56.0,0.2703,0.0249,0.1694
21,0.0,202.2,13.5,206.0,77.3,4.4,46.0,0.3804,0.0269,0.1389
22,0.0,172.1,5.4,47.0,32.1,21.2,57.0,0.1863,0.0195,0.1711
23,0.0,187.3,6.2,172.0,30.0,5.6,65.0,0.2231,0.0213,0.1942
24,0.0,212.8,8.0,145.0,12.1,9.5,54.0,0.2257,0.022,0.1646
25,0.0,208.1,15.0,43.0,8.2,11.1,36.0,0.1927,0.0205,0.1121
26,0.0,186.4,8.8,54.0,1.1,2.3,70.0,0.1708,0.0189,0.207
27,0.0,181.6,9.8,26.0,26.5,18.0,52.0,0.1839,0.0196,0.1562
28,0.0,155.6,7.7,280.0,42.8,2.3,61.0,0.3391,0.0259,0.1802
29,0.0,158.1,9.1,49.0,14.3,27.7,53.0,0.1955,0.0198,0.1584
30,0.0,180.7,12.8,202.0,17.3,5.7,39.0,0.2234,0.0218,0.1186
31,0.0,257.5,8.7,171.0,11.6,4.1,60.0,0.2934,0.0265,0.1817
32,0.0,249.5,6.8,64.0,50.1,15.8,53.0,0.3046,0.0265,0.158
33,0.0,189.6,11.6,96.0,39.1,9.4,50.0,0.2202,0.0213,0.1507
34,0.0,176.9,10.2,199.0,28.9,5.4,50.0,0.2328,0.0214,0.1505
35,0.0,241.6,10.6,219.0,42.0,2.6,62.0,0.354,0.0277,0.1843
36,0.0,161.4,14.9,224.0,39.8,4.0,36.0,0.2928,0.024,0.1097
37,0.0,222.3,8.3,11.0,76.2,2.0,72.0,0.3213,0.0251,0.2166
38,0.0,111.9,5.6,127.0,77.1,9.4,58.0,0.2562,0.0214,0.1712
39,0.0,137.4,16.9,49.0,11.7,14.8,44.0,0.2036,0.02,0.1326
40,0.0,182.0,12.0,30.0,18.4,23.8,52.0,0.178,0.0193,0.1578
41,0.0,118.9,14.5,96.0,85.2,2.7,82.0,0.2562,0.0215,0.2414
42,0.0,242.6,17.5,41.0,3.7,16.8,68.0,0.2514,0.0241,0.205
43,0.0,191.0,8.2,7.0,10.4,15.1,90.0,0.1747,0.0191,0.2667
44,0.0,250.7,6.1,91.0,68.3,9.0,66.0,0.3475,0.0273,0.1972
45,0.0,201.3,9.6,16.0,18.4,5.9,84.0,0.1984,0.0203,0.2536
46,0.0,220.0,5.9,131.0,14.8,15.3,86.0,0.2158,0.022,0.2549
47,0.0,128.3,6.2,27.0,51.6,3.4,68.0,0.2011,0.0198,0.2001
