,Sample,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err,rGe77[nuc/(kg*yr)]
0,0,0.0,239.4,6.9,64.0,52.0,3.4,62.0,0.2357,0.0225,0.1445
1,1,0.0,98.0,9.5,46.0,10.6,4.9,90.0,0.2419,0.0205,0.2664
2,2,0.0,225.0,12.5,155.0,25.1,12.0,54.0,0.2294,0.0219,0.1282
3,3,0.0,176.5,9.8,41.0,20.5,15.0,69.0,0.1636,0.0176,0.1606
4,4,0.0,163.2,5.5,140.0,71.1,3.8,70.0,0.2267,0.0205,0.16
5,5,0.0,210.3,14.3,151.0,5.5,4.3,57.0,0.202,0.02,0.1317
6,6,0.0,168.6,17.2,126.0,19.3,6.9,44.0,0.1897,0.0189,0.104
7,7,0.0,191.8,14.9,238.0,41.9,2.2,52.0,0.3081,0.0241,0.1232
8,8,0.0,231.3,8.8,116.0,41.8,13.9,46.0,0.2283,0.0219,0.1086
9,9,0.0,247.5,15.8,137.0,35.3,2.6,61.0,0.2619,0.0239,0.1447
10,10,0.0,182.5,5.1,273.0,70.3,9.9,47.0,0.4102,0.0261,0.1093
11,11,0.0,184.1,13.5,14.0,27.4,11.7,55.0,0.1561,0.0174,0.1269
12,12,0.0,217.9,16.4,274.0,4.6,2.8,40.0,0.3344,0.0255,0.0948
13,13,0.0,100.4,14.2,43.0,6.5,14.9,44.0,0.2362,0.0203,0.1022
14,14,0.0,243.9,12.3,107.0,8.3,9.4,41.0,0.2165,0.0219,0.0969
15,15,0.0,190.5,5.9,117.0,78.3,6.2,61.0,0.2432,0.0217,0.142
16,16,0.0,252.5,10.7,357.0,10.3,4.6,65.0,0.5895,0.029,0.1545
17,17,0.0,204.1,6.8,31.0,6.6,99.5,68.0,0.1708,0.0188,0.1599
18,18,0.0,201.2,12.4,233.0,71.9,3.5,40.0,0.3835,0.0264,0.0937
19,19,0.0,229.4,9.5,117.0,25.6,22.7,61.0,0.2096,0.021,0.1445
20,20,0.0,188.8,13.2,12.0,9.3,2.5,63.0,0.1433,0.0165,0.1457
21,21,0.0,170.4,14.8,145.0,65.9,2.1,45.0,0.231,0.0209,0.1073
22,22,0.0,180.0,18.0,34.0,22.7,3.0,65.0,0.1586,0.0174,0.1508
23,23,0.0,229.0,16.2,23.0,5.4,20.2,47.0,0.1593,0.0181,0.1099
24,24,0.0,249.0,11.7,78.0,31.3,12.7,60.0,0.2343,0.023,0.1415
25,25,0.0,129.2,11.6,73.0,80.4,2.5,55.0,0.1957,0.019,0.1264
26,26,0.0,175.1,15.9,210.0,9.8,3.4,42.0,0.2202,0.0204,0.0982
27,27,0.0,232.2,9.8,212.0,45.3,6.1,59.0,0.329,0.0258,0.1418
28,28,0.0,105.6,6.5,39.0,83.2,11.1,62.0,0.2015,0.0192,0.1403
29,29,0.0,136.6,6.6,24.0,10.4,48.5,40.0,0.1858,0.0185,0.0923
30,30,0.0,165.6,7.0,168.0,46.8,17.1,36.0,0.2273,0.0206,0.0834
31,31,0.0,177.4,12.7,269.0,43.8,2.2,48.0,0.3547,0.0248,0.1132
32,32,0.0,209.9,14.0,296.0,49.4,2.5,57.0,0.4757,0.0274,0.1341
33,33,0.0,165.4,10.7,168.0,67.1,3.1,60.0,0.2472,0.0213,0.1381
34,34,0.0,125.0,6.6,161.0,84.7,8.8,62.0,0.2578,0.0211,0.1451
35,35,0.0,151.3,6.1,299.0,73.4,5.6,59.0,0.4273,0.0253,0.1389
36,36,0.0,231.7,13.7,61.0,72.3,2.3,53.0,0.2787,0.0248,0.1239
37,37,0.0,204.1,9.1,150.0,70.5,5.2,54.0,0.2777,0.0233,0.125
38,38,0.0,242.9,16.2,53.0,5.6,17.3,54.0,0.1835,0.02,0.1292
39,39,0.0,119.5,8.1,251.0,54.7,3.6,72.0,0.2864,0.0217,0.1683
40,40,0.0,203.7,6.8,24.0,78.5,13.1,51.0,0.2264,0.0221,0.1178
41,41,0.0,143.8,7.5,216.0,19.2,2.1,50.0,0.2184,0.0199,0.1158
42,42,0.0,221.7,12.4,291.0,84.3,5.1,48.0,0.579,0.028,0.1124
43,43,0.0,228.5,17.9,73.0,9.2,4.1,70.0,0.179,0.0193,0.1632
44,44,0.0,102.9,12.8,181.0,42.4,3.8,46.0,0.2334,0.0203,0.1061
45,45,0.0,128.7,10.4,53.0,70.0,6.8,68.0,0.1894,0.0187,0.156
46,46,0.0,149.1,13.7,122.0,45.0,7.1,36.0,0.2036,0.0194,0.0841
47,47,0.0,251.6,12.0,195.0,84.7,4.3,74.0,0.4748,0.029,0.173
