,mode,radius,thickness,npanels,theta,length,nC_Ge77[cts],production
0,0.0,208.7,6.4,22.0,16.7,26.2,43.0,0.2570130741477251
1,0.0,194.6,9.5,34.0,66.7,7.2,57.0,0.3393832265113079
2,0.0,240.3,7.4,58.0,72.6,9.4,79.0,0.4714393496967483
3,0.0,215.3,5.1,360.0,74.2,9.6,70.0,0.4212067656193281
4,0.0,253.8,5.0,6.0,44.2,6.6,78.0,0.4620549450633089
5,0.0,187.0,12.4,100.0,23.3,2.4,78.0,0.46212872292609364
6,0.0,194.6,11.6,20.0,59.1,4.1,68.0,0.4000661719765584
7,0.0,114.8,10.1,19.0,17.3,26.3,62.0,0.36398297781441
8,0.0,161.6,9.0,272.0,73.2,5.2,78.0,0.46082527889541003
9,0.0,174.8,8.3,241.0,56.1,3.1,30.0,0.18009365948394002
10,0.0,234.9,13.1,111.0,18.9,12.2,66.0,0.4052874804128304
11,0.0,164.0,16.8,356.0,15.7,2.3,46.0,0.2751262031954136
12,0.0,237.6,5.6,148.0,71.8,12.0,44.0,0.2651638990825351
13,0.0,163.6,6.1,26.0,7.2,85.9,42.0,0.24983298547688884
14,0.0,204.0,5.9,302.0,58.0,10.0,76.0,0.4489683969081436
15,0.0,203.2,8.7,45.0,19.7,24.0,46.0,0.27566894607171666
16,0.0,155.8,15.3,71.0,35.8,5.4,44.0,0.2670412643208639
17,0.0,121.2,11.5,261.0,83.6,3.4,52.0,0.30968227954980676
18,0.0,96.4,5.0,14.0,12.8,45.2,74.0,0.43584493777479183
19,0.0,168.4,10.8,24.0,9.6,49.2,62.0,0.37406966056777585
20,0.0,244.4,6.8,92.0,5.3,14.7,56.0,0.33900571029725923
21,0.0,202.2,13.5,206.0,77.3,4.4,46.0,0.2773377472824882
22,0.0,172.1,5.4,47.0,32.1,21.2,57.0,0.3420027963380228
23,0.0,187.3,6.2,172.0,30.0,5.6,65.0,0.388431927821452
24,0.0,212.8,8.0,145.0,12.1,9.5,54.0,0.3292632415014246
25,0.0,208.1,15.0,43.0,8.2,11.1,37.0,0.22387359578248556
26,0.0,186.4,8.8,54.0,1.1,2.3,70.0,0.4140631592861194
27,0.0,181.6,9.8,26.0,26.5,18.0,52.0,0.3124465703056485
28,0.0,155.6,7.7,280.0,42.8,2.3,61.0,0.36132291550912854
29,0.0,158.1,9.1,49.0,14.3,27.7,53.0,0.31681105894483297
30,0.0,180.7,12.8,202.0,17.3,5.7,39.0,0.2372368045473009
31,0.0,257.5,8.7,171.0,11.6,4.1,60.0,0.363272838762021
32,0.0,249.5,6.8,64.0,50.1,15.8,53.0,0.31596634579874694
33,0.0,189.6,11.6,96.0,39.1,9.4,50.0,0.30154447691593395
34,0.0,176.9,10.2,199.0,28.9,5.4,50.0,0.30082454894245664
35,0.0,241.6,10.6,219.0,42.0,2.6,62.0,0.3685056953648213
36,0.0,161.4,14.9,224.0,39.8,4.0,36.0,0.21935452085789758
